gamename,year,month,avg,gain,peak,avg_peak_perc
The Elder Scrolls Online,2019,May ,17805.96,1667.85,32498,54.79%
The Elder Scrolls Online,2019,April ,16138.11,2521.62,28980,55.69%
The Elder Scrolls Online,2019,March ,13616.49,186.91,31851,42.75%
The Elder Scrolls Online,2019,February ,13429.59,1021.19,24158,55.59%
The Elder Scrolls Online,2019,January ,12408.4,387.87,21996,56.41%
The Elder Scrolls Online,2018,December ,12020.54,1123.45,19823,60.64%
The Elder Scrolls Online,2018,November ,10897.08,-2017.42,18228,59.78%
The Elder Scrolls Online,2018,October ,12914.51,491.87,21298,60.64%
The Elder Scrolls Online,2018,September ,12422.64,-2155.13,22288,55.74%
The Elder Scrolls Online,2018,August ,14577.76,999.52,29547,49.34%
The Elder Scrolls Online,2018,July ,13578.24,-1869.15,23384,58.07%
The Elder Scrolls Online,2018,June ,15447.39,4874.09,28296,54.59%
The Elder Scrolls Online,2018,May ,10573.3,-835.01,21380,49.45%
The Elder Scrolls Online,2018,April ,11408.31,1427.97,19117,59.68%
The Elder Scrolls Online,2018,March ,9980.34,1014.65,24641,40.50%
The Elder Scrolls Online,2018,February ,8965.69,-1305.7,15284,58.66%
The Elder Scrolls Online,2018,January ,10271.4,-1376.86,17705,58.01%
The Elder Scrolls Online,2017,December ,11648.26,3819.09,25928,44.93%
The Elder Scrolls Online,2017,November ,7829.17,48.69,14783,52.96%
The Elder Scrolls Online,2017,October ,7780.48,-390.82,13825,56.28%
The Elder Scrolls Online,2017,September ,8171.3,73.81,15470,52.82%
The Elder Scrolls Online,2017,August ,8097.48,-281.26,18457,43.87%
The Elder Scrolls Online,2017,July ,8378.74,-1535.89,14351,58.38%
The Elder Scrolls Online,2017,June ,9914.64,680.63,16788,59.06%
The Elder Scrolls Online,2017,May ,9234,-2032.25,16676,55.37%
The Elder Scrolls Online,2017,April ,11266.26,3836.67,29979,37.58%
The Elder Scrolls Online,2017,March ,7429.58,-2149.5,13220,56.20%
The Elder Scrolls Online,2017,February ,9579.08,1895.06,17655,54.26%
The Elder Scrolls Online,2017,January ,7684.02,-1980.37,13704,56.07%
The Elder Scrolls Online,2016,December ,9664.39,626.94,20167,47.92%
The Elder Scrolls Online,2016,November ,9037.45,5807.39,29305,30.84%
The Elder Scrolls Online,2016,October ,3230.06,918.11,6653,48.55%
The Elder Scrolls Online,2016,September ,2311.95,-681.46,3950,58.53%
The Elder Scrolls Online,2016,August ,2993.41,-292.98,6114,48.96%
The Elder Scrolls Online,2016,July ,3286.39,467.68,7008,46.89%
The Elder Scrolls Online,2016,June ,2818.71,1166.03,5544,50.84%
The Elder Scrolls Online,2016,May ,1652.68,-228.72,3240,51.01%
The Elder Scrolls Online,2016,April ,1881.4,-543.52,3461,54.36%
The Elder Scrolls Online,2016,March ,2424.92,-99.02,4852,49.98%
The Elder Scrolls Online,2016,February ,2523.94,-1346.39,4524,55.79%
The Elder Scrolls Online,2016,January ,3870.33,599.33,8572,45.15%
The Elder Scrolls Online,2015,December ,3271,1686.11,7279,44.94%
The Elder Scrolls Online,2015,November ,1584.89,-71.64,4487,35.32%
The Elder Scrolls Online,2015,October ,1656.53,-691.75,2828,58.58%
The Elder Scrolls Online,2015,September ,2348.28,-29.02,4700,49.96%
The Elder Scrolls Online,2015,August ,2377.3,-329.58,5030,47.26%
The Elder Scrolls Online,2015,July ,2706.88,557.71,5971,45.33%
The Elder Scrolls Online,2015,June ,2149.18,237.62,3347,64.21%
The Elder Scrolls Online,2015,May ,1911.55,-545.45,3208,59.59%
The Elder Scrolls Online,2015,April ,2457.01,334.58,4333,56.70%
The Elder Scrolls Online,2015,March ,2122.42,1214.6,5067,41.89%
The Elder Scrolls Online,2015,February ,907.82,-97.95,1559,58.23%
The Elder Scrolls Online,2015,January ,1005.77,162.24,2095,48.01%
The Elder Scrolls Online,2014,December ,843.54,333.12,1924,43.84%
The Elder Scrolls Online,2014,November ,510.42,-120.61,1187,43.00%
The Elder Scrolls Online,2014,October ,631.03,-80.85,1270,49.69%
The Elder Scrolls Online,2014,September ,711.88,-535.8,1439,49.47%
The Elder Scrolls Online,2014,August ,1247.68,-744.94,2290,54.48%
The Elder Scrolls Online,2014,July ,1992.62,NA,3107,64.13%
Age of Empires II: Definitive Edition,2021,January ,19509.7,3001.1,38725,50.38%
Age of Empires II: Definitive Edition,2020,December ,16508.59,1674.37,34399,47.99%
Age of Empires II: Definitive Edition,2020,November ,14834.22,2237.43,28381,52.27%
Age of Empires II: Definitive Edition,2020,October ,12596.78,-180.7,21297,59.15%
Age of Empires II: Definitive Edition,2020,September ,12777.48,-661.95,20690,61.76%
Age of Empires II: Definitive Edition,2020,August ,13439.44,-1008.34,21018,63.94%
Age of Empires II: Definitive Edition,2020,July ,14447.78,521.63,22239,64.97%
Age of Empires II: Definitive Edition,2020,June ,13926.15,-3701.97,23847,58.40%
Age of Empires II: Definitive Edition,2020,May ,17628.12,-1574.4,33160,53.16%
Age of Empires II: Definitive Edition,2020,April ,19202.51,5836.75,34321,55.95%
Age of Empires II: Definitive Edition,2020,March ,13365.76,2213.73,30989,43.13%
Age of Empires II: Definitive Edition,2020,February ,11152.02,11.99,20924,53.30%
Age of Empires II: Definitive Edition,2020,January ,11140.03,0.76,21231,52.47%
Age of Empires II: Definitive Edition,2019,December ,11139.27,-2703.36,20269,54.96%
Age of Empires II: Definitive Edition,2019,November ,13842.64,NA,26767,51.72%
The Elder Scrolls V: Skyrim Special Edition,2021,January ,19619.74,3835.37,34631,56.65%
The Elder Scrolls V: Skyrim Special Edition,2020,December ,15784.37,811.3,26658,59.21%
The Elder Scrolls V: Skyrim Special Edition,2020,November ,14973.07,338.72,24514,61.08%
The Elder Scrolls V: Skyrim Special Edition,2020,October ,14634.35,-1312.59,23284,62.85%
The Elder Scrolls V: Skyrim Special Edition,2020,September ,15946.93,-3544.31,24612,64.79%
The Elder Scrolls V: Skyrim Special Edition,2020,August ,19491.25,560.54,30978,62.92%
The Elder Scrolls V: Skyrim Special Edition,2020,July ,18930.71,1504.97,29916,63.28%
The Elder Scrolls V: Skyrim Special Edition,2020,June ,17425.74,660.76,29337,59.40%
The Elder Scrolls V: Skyrim Special Edition,2020,May ,16764.98,-1042.78,25892,64.75%
The Elder Scrolls V: Skyrim Special Edition,2020,April ,17807.76,2792.68,26917,66.16%
The Elder Scrolls V: Skyrim Special Edition,2020,March ,15015.08,314.21,26291,57.11%
The Elder Scrolls V: Skyrim Special Edition,2020,February ,14700.87,-1290.95,25303,58.10%
The Elder Scrolls V: Skyrim Special Edition,2020,January ,15991.82,2793,26377,60.63%
The Elder Scrolls V: Skyrim Special Edition,2019,December ,13198.82,2589.68,23687,55.72%
The Elder Scrolls V: Skyrim Special Edition,2019,November ,10609.15,187.28,17841,59.47%
The Elder Scrolls V: Skyrim Special Edition,2019,October ,10421.86,-366.55,18408,56.62%
The Elder Scrolls V: Skyrim Special Edition,2019,September ,10788.42,-2189.17,18680,57.75%
The Elder Scrolls V: Skyrim Special Edition,2019,August ,12977.59,82.03,20823,62.32%
The Elder Scrolls V: Skyrim Special Edition,2019,July ,12895.56,317.67,22225,58.02%
The Elder Scrolls V: Skyrim Special Edition,2019,June ,12577.89,952.59,20020,62.83%
The Elder Scrolls V: Skyrim Special Edition,2019,May ,11625.3,-126.23,19843,58.59%
The Elder Scrolls V: Skyrim Special Edition,2019,April ,11751.53,297.68,20798,56.50%
The Elder Scrolls V: Skyrim Special Edition,2019,March ,11453.85,-858.34,21780,52.59%
The Elder Scrolls V: Skyrim Special Edition,2019,February ,12312.19,-273.59,21698,56.74%
The Elder Scrolls V: Skyrim Special Edition,2019,January ,12585.78,1127.81,20884,60.27%
The Elder Scrolls V: Skyrim Special Edition,2018,December ,11457.97,1366.94,19864,57.68%
The Elder Scrolls V: Skyrim Special Edition,2018,November ,10091.03,-272.38,18616,54.21%
The Elder Scrolls V: Skyrim Special Edition,2018,October ,10363.41,850.93,18838,55.01%
The Elder Scrolls V: Skyrim Special Edition,2018,September ,9512.48,-1492.03,17567,54.15%
The Elder Scrolls V: Skyrim Special Edition,2018,August ,11004.51,-1042.06,19106,57.60%
The Elder Scrolls V: Skyrim Special Edition,2018,July ,12046.57,584.17,19319,62.36%
The Elder Scrolls V: Skyrim Special Edition,2018,June ,11462.4,428.86,19321,59.33%
The Elder Scrolls V: Skyrim Special Edition,2018,May ,11033.55,-741.25,18427,59.88%
The Elder Scrolls V: Skyrim Special Edition,2018,April ,11774.79,1572.45,25182,46.76%
The Elder Scrolls V: Skyrim Special Edition,2018,March ,10202.34,-134.83,17857,57.13%
The Elder Scrolls V: Skyrim Special Edition,2018,February ,10337.17,-1880.06,18673,55.36%
The Elder Scrolls V: Skyrim Special Edition,2018,January ,12217.23,1157.22,21459,56.93%
The Elder Scrolls V: Skyrim Special Edition,2017,December ,11060.01,2280.03,19724,56.07%
The Elder Scrolls V: Skyrim Special Edition,2017,November ,8779.98,-784.25,17725,49.53%
The Elder Scrolls V: Skyrim Special Edition,2017,October ,9564.23,-1345.53,18622,51.36%
The Elder Scrolls V: Skyrim Special Edition,2017,September ,10909.76,1141.87,23312,46.80%
The Elder Scrolls V: Skyrim Special Edition,2017,August ,9767.89,-568.48,18461,52.91%
The Elder Scrolls V: Skyrim Special Edition,2017,July ,10336.37,912.68,16929,61.06%
The Elder Scrolls V: Skyrim Special Edition,2017,June ,9423.68,362.08,15695,60.04%
The Elder Scrolls V: Skyrim Special Edition,2017,May ,9061.61,1392.8,16427,55.16%
The Elder Scrolls V: Skyrim Special Edition,2017,April ,7668.81,-702.8,15364,49.91%
The Elder Scrolls V: Skyrim Special Edition,2017,March ,8371.61,-1614.72,16316,51.31%
The Elder Scrolls V: Skyrim Special Edition,2017,February ,9986.33,-2193.87,18727,53.33%
The Elder Scrolls V: Skyrim Special Edition,2017,January ,12180.21,-2985.95,22528,54.07%
The Elder Scrolls V: Skyrim Special Edition,2016,December ,15166.15,-12887.45,30528,49.68%
The Elder Scrolls V: Skyrim Special Edition,2016,November ,28053.6,22375.2,65584,42.78%
The Elder Scrolls V: Skyrim Special Edition,2016,October ,5678.4,5676.98,69777,8.14%
The Elder Scrolls V: Skyrim Special Edition,2016,September ,1.42,NA,14,10.14%
Brawlhalla,2021,January ,16032.66,-391.86,28076,57.10%
Brawlhalla,2020,December ,16424.52,-1722.25,27963,58.74%
Brawlhalla,2020,November ,18146.77,1220.04,30784,58.95%
Brawlhalla,2020,October ,16926.73,-27.92,28295,59.82%
Brawlhalla,2020,September ,16954.65,-58.87,33740,50.25%
Brawlhalla,2020,August ,17013.52,737.43,26415,64.41%
Brawlhalla,2020,July ,16276.09,876.69,29804,54.61%
Brawlhalla,2020,June ,15399.4,-999.66,26402,58.33%
Brawlhalla,2020,May ,16399.06,-816.21,31828,51.52%
Brawlhalla,2020,April ,17215.27,2144.2,26948,63.88%
Brawlhalla,2020,March ,15071.08,4567,31055,48.53%
Brawlhalla,2020,February ,10504.08,56.02,19057,55.12%
Brawlhalla,2020,January ,10448.06,66.94,18649,56.02%
Brawlhalla,2019,December ,10381.12,2249.77,17583,59.04%
Brawlhalla,2019,November ,8131.35,503.39,15567,52.23%
Brawlhalla,2019,October ,7627.96,-171.83,15336,49.74%
Brawlhalla,2019,September ,7799.79,-100.55,15823,49.29%
Brawlhalla,2019,August ,7900.35,-369.41,13786,57.31%
Brawlhalla,2019,July ,8269.76,-545.64,13342,61.98%
Brawlhalla,2019,June ,8815.4,1438,15942,55.30%
Brawlhalla,2019,May ,7377.4,43.53,14173,52.05%
Brawlhalla,2019,April ,7333.87,210.44,14299,51.29%
Brawlhalla,2019,March ,7123.42,69.42,13737,51.86%
Brawlhalla,2019,February ,7054,-578.47,14013,50.34%
Brawlhalla,2019,January ,7632.47,-713.14,14116,54.07%
Brawlhalla,2018,December ,8345.61,202.51,16452,50.73%
Brawlhalla,2018,November ,8143.1,938.71,16364,49.76%
Brawlhalla,2018,October ,7204.39,-140.68,14693,49.03%
Brawlhalla,2018,September ,7345.07,190.35,13854,53.02%
Brawlhalla,2018,August ,7154.72,-151.61,12196,58.66%
Brawlhalla,2018,July ,7306.33,192.94,13066,55.92%
Brawlhalla,2018,June ,7113.39,777.57,11801,60.28%
Brawlhalla,2018,May ,6335.82,170.84,11735,53.99%
Brawlhalla,2018,April ,6164.98,-224.07,12133,50.81%
Brawlhalla,2018,March ,6389.06,159.6,12796,49.93%
Brawlhalla,2018,February ,6229.45,96.2,11688,53.30%
Brawlhalla,2018,January ,6133.25,-4.1,11694,52.45%
Brawlhalla,2017,December ,6137.35,605.39,11196,54.82%
Brawlhalla,2017,November ,5531.97,-230.36,11557,47.87%
Brawlhalla,2017,October ,5762.33,422.2,12675,45.46%
Brawlhalla,2017,September ,5340.12,266.14,10596,50.40%
Brawlhalla,2017,August ,5073.99,-528.43,9342,54.31%
Brawlhalla,2017,July ,5602.41,192.82,8777,63.83%
Brawlhalla,2017,June ,5409.59,117.99,9351,57.85%
Brawlhalla,2017,May ,5291.61,-510.69,11249,47.04%
Brawlhalla,2017,April ,5802.29,185.38,12215,47.50%
Brawlhalla,2017,March ,5616.91,-327.4,11253,49.91%
Brawlhalla,2017,February ,5944.31,341.03,12126,49.02%
Brawlhalla,2017,January ,5603.28,190.78,11357,49.34%
Brawlhalla,2016,December ,5412.49,514.38,10642,50.86%
Brawlhalla,2016,November ,4898.11,-32.41,10045,48.76%
Brawlhalla,2016,October ,4930.52,254.88,10217,48.26%
Brawlhalla,2016,September ,4675.64,-176.56,9399,49.75%
Brawlhalla,2016,August ,4852.2,-469.15,9244,52.49%
Brawlhalla,2016,July ,5321.35,22.94,8692,61.22%
Brawlhalla,2016,June ,5298.42,1217.2,10077,52.58%
Brawlhalla,2016,May ,4081.22,-497.16,8552,47.72%
Brawlhalla,2016,April ,4578.38,349.7,12781,35.82%
Brawlhalla,2016,March ,4228.68,-5.7,8588,49.24%
Brawlhalla,2016,February ,4234.38,-135.84,8657,48.91%
Brawlhalla,2016,January ,4370.22,717.48,10073,43.39%
Brawlhalla,2015,December ,3652.74,681.15,7296,50.07%
Brawlhalla,2015,November ,2971.59,2611.72,7389,40.22%
Brawlhalla,2015,October ,359.87,-22.53,793,45.38%
Brawlhalla,2015,September ,382.41,20.78,1391,27.49%
Brawlhalla,2015,August ,361.63,48.21,754,47.96%
Brawlhalla,2015,July ,313.42,127.48,1038,30.19%
Brawlhalla,2015,June ,185.93,6.99,436,42.64%
Brawlhalla,2015,May ,178.95,95.93,549,32.60%
Brawlhalla,2015,April ,83.02,-4.45,191,43.47%
Brawlhalla,2015,March ,87.48,-2.91,238,36.76%
Brawlhalla,2015,February ,90.39,33.13,253,35.73%
Brawlhalla,2015,January ,57.26,-1.19,211,27.14%
Brawlhalla,2014,December ,58.45,35.23,301,19.42%
Brawlhalla,2014,November ,23.22,22.73,119,19.51%
Brawlhalla,2014,October ,0.49,-0.17,6,8.17%
Brawlhalla,2014,September ,0.66,-0.08,15,4.40%
Brawlhalla,2014,August ,0.74,-0.13,13,5.69%
Brawlhalla,2014,July ,0.87,0.07,13,6.69%
Brawlhalla,2014,June ,0.8,-1.71,5,16%
Brawlhalla,2014,May ,2.51,2.24,20,12.55%
Brawlhalla,2014,April ,0.27,NA,13,2.08%
Unturned,2021,January ,22042.28,2856.68,30006,73.46%
Unturned,2020,December ,19185.61,-817.29,32524,58.99%
Unturned,2020,November ,20002.9,-2258.73,33403,59.88%
Unturned,2020,October ,22261.63,4440.67,36561,60.89%
Unturned,2020,September ,17820.96,-1901.39,29380,60.66%
Unturned,2020,August ,19722.35,2097.84,25994,75.87%
Unturned,2020,July ,17624.51,-4440.54,27512,64.06%
Unturned,2020,June ,22065.05,230.13,33699,65.48%
Unturned,2020,May ,21834.93,-6897.02,35923,60.78%
Unturned,2020,April ,28731.95,4933.22,39947,71.93%
Unturned,2020,March ,23798.73,4045.67,42396,56.13%
Unturned,2020,February ,19753.06,2088.05,33921,58.23%
Unturned,2020,January ,17665.01,569.28,34544,51.14%
Unturned,2019,December ,17095.73,-219.43,38088,44.88%
Unturned,2019,November ,17315.16,1641.61,31714,54.60%
Unturned,2019,October ,15673.54,3616.46,47500,33.00%
Unturned,2019,September ,12057.08,-1504.65,18809,64.10%
Unturned,2019,August ,13561.73,-1515.81,18376,73.80%
Unturned,2019,July ,15077.53,2984.85,23751,63.48%
Unturned,2019,June ,12092.68,1244.58,17004,71.12%
Unturned,2019,May ,10848.11,-387.92,17703,61.28%
Unturned,2019,April ,11236.02,-8.74,18742,59.95%
Unturned,2019,March ,11244.77,-5107.78,18997,59.19%
Unturned,2019,February ,16352.54,-6262.11,30621,53.40%
Unturned,2019,January ,22614.65,4451.94,33900,66.71%
Unturned,2018,December ,18162.71,4012.41,36913,49.20%
Unturned,2018,November ,14150.3,2568.02,24199,58.47%
Unturned,2018,October ,11582.28,-225.07,21804,53.12%
Unturned,2018,September ,11807.35,-2773.74,20381,57.93%
Unturned,2018,August ,14581.09,-84.96,19884,73.33%
Unturned,2018,July ,14666.05,747.28,20387,71.94%
Unturned,2018,June ,13918.77,3310.58,20832,66.81%
Unturned,2018,May ,10608.19,29.53,18483,57.39%
Unturned,2018,April ,10578.66,-1451,19593,53.99%
Unturned,2018,March ,12029.66,-1523.51,23439,51.32%
Unturned,2018,February ,13553.17,-2803.65,25783,52.57%
Unturned,2018,January ,16356.82,-488.14,30976,52.80%
Unturned,2017,December ,16844.96,2001.16,32615,51.65%
Unturned,2017,November ,14843.81,-150.21,32111,46.23%
Unturned,2017,October ,14994.02,-14.73,31647,47.38%
Unturned,2017,September ,15008.75,-5873.72,29124,51.53%
Unturned,2017,August ,20882.47,-2681.87,29593,70.57%
Unturned,2017,July ,23564.34,4984.76,38020,61.98%
Unturned,2017,June ,18579.59,1695.38,29466,63.05%
Unturned,2017,May ,16884.21,-1400.48,30764,54.88%
Unturned,2017,April ,18284.68,166.93,32278,56.65%
Unturned,2017,March ,18117.75,-4033.48,36179,50.08%
Unturned,2017,February ,22151.24,1019.93,42677,51.90%
Unturned,2017,January ,21131.31,864.59,37434,56.45%
Unturned,2016,December ,20266.72,-284.87,37381,54.22%
Unturned,2016,November ,20551.59,-2298.46,42720,48.11%
Unturned,2016,October ,22850.05,-1103.24,48001,47.60%
Unturned,2016,September ,23953.29,-10254.59,50338,47.58%
Unturned,2016,August ,34207.88,5468.59,55141,62.04%
Unturned,2016,July ,28739.29,4588.32,39683,72.42%
Unturned,2016,June ,24150.97,7961.24,38486,62.75%
Unturned,2016,May ,16189.73,-760.76,32941,49.15%
Unturned,2016,April ,16950.49,-2526.41,34174,49.60%
Unturned,2016,March ,19476.9,-1517.01,39345,49.50%
Unturned,2016,February ,20993.91,2145.39,40166,52.27%
Unturned,2016,January ,18848.51,1587.38,42322,44.54%
Unturned,2015,December ,17261.13,2364.32,33157,52.06%
Unturned,2015,November ,14896.81,-3599.84,29720,50.12%
Unturned,2015,October ,18496.65,1665.35,36178,51.13%
Unturned,2015,September ,16831.3,-3141.6,35834,46.97%
Unturned,2015,August ,19972.91,2653.38,31354,63.70%
Unturned,2015,July ,17319.53,5156.39,27275,63.50%
Unturned,2015,June ,12163.14,1913.34,19518,62.32%
Unturned,2015,May ,10249.8,-38.56,19261,53.22%
Unturned,2015,April ,10288.36,1897.25,19519,52.71%
Unturned,2015,March ,8391.11,-1018.64,18889,44.42%
Unturned,2015,February ,9409.75,964.57,17570,53.56%
Unturned,2015,January ,8445.18,5.78,18529,45.58%
Unturned,2014,December ,8439.39,736.14,16702,50.53%
Unturned,2014,November ,7703.26,-1207.74,16744,46.01%
Unturned,2014,October ,8911,-4031.77,20208,44.10%
Unturned,2014,September ,12942.77,-16417.64,28228,45.85%
Unturned,2014,August ,29360.41,-1433.81,53547,54.83%
Unturned,2014,July ,30794.22,30789.89,62450,49.31%
Unturned,2014,June ,4.33,NA,20,21.65%
Spacewar,2021,January ,16676.54,3010.28,29117,57.27%
Spacewar,2020,December ,13666.26,-5926.2,25010,54.64%
Spacewar,2020,November ,19592.46,1989.85,35455,55.26%
Spacewar,2020,October ,17602.61,7267.11,32477,54.20%
Spacewar,2020,September ,10335.49,493.83,22888,45.16%
Spacewar,2020,August ,9841.67,1870.12,15392,63.94%
Spacewar,2020,July ,7971.55,-1107.77,12609,63.22%
Spacewar,2020,June ,9079.32,-2366.2,15223,59.64%
Spacewar,2020,May ,11445.51,-130.72,19955,57.36%
Spacewar,2020,April ,11576.23,2333.9,19091,60.64%
Spacewar,2020,March ,9242.33,1517.24,17518,52.76%
Spacewar,2020,February ,7725.09,632.48,14278,54.10%
Spacewar,2020,January ,7092.61,896.86,12560,56.47%
Spacewar,2019,December ,6195.76,535.6,11746,52.75%
Spacewar,2019,November ,5660.16,48.78,11035,51.29%
Spacewar,2019,October ,5611.38,-839.95,11501,48.79%
Spacewar,2019,September ,6451.33,-1993.87,14359,44.93%
Spacewar,2019,August ,8445.2,1319.23,16151,52.29%
Spacewar,2019,July ,7125.96,154.41,11918,59.79%
Spacewar,2019,June ,6971.55,286.23,11891,58.63%
Spacewar,2019,May ,6685.32,-296.71,12894,51.85%
Spacewar,2019,April ,6982.03,-378.8,14612,47.78%
Spacewar,2019,March ,7360.83,-164.76,14496,50.78%
Spacewar,2019,February ,7525.59,-762.8,15401,48.86%
Spacewar,2019,January ,8288.39,1500.27,15531,53.37%
Spacewar,2018,December ,6788.12,358.45,13245,51.25%
Spacewar,2018,November ,6429.67,130.78,13375,48.07%
Spacewar,2018,October ,6298.89,-184.23,13040,48.30%
Spacewar,2018,September ,6483.12,-1254.55,12799,50.65%
Spacewar,2018,August ,7737.67,-204.06,12609,61.37%
Spacewar,2018,July ,7941.72,-1147.9,13795,57.57%
Spacewar,2018,June ,9089.62,-961.12,18644,48.75%
Spacewar,2018,May ,10050.74,3227.77,22767,44.15%
Spacewar,2018,April ,6822.96,-146.1,16804,40.60%
Spacewar,2018,March ,6969.06,-27.55,14139,49.29%
Spacewar,2018,February ,6996.62,35.38,13900,50.34%
Spacewar,2018,January ,6961.23,648.29,13590,51.22%
Spacewar,2017,December ,6312.94,-20.28,12269,51.45%
Spacewar,2017,November ,6333.22,22.93,12996,48.73%
Spacewar,2017,October ,6310.29,173.27,13324,47.36%
Spacewar,2017,September ,6137.02,-1026.72,12311,49.85%
Spacewar,2017,August ,7163.74,609.5,13730,52.18%
Spacewar,2017,July ,6554.24,-572.57,10513,62.34%
Spacewar,2017,June ,7126.81,1447.98,13076,54.50%
Spacewar,2017,May ,5678.83,-223.04,11914,47.67%
Spacewar,2017,April ,5901.87,-312.5,11338,52.05%
Spacewar,2017,March ,6214.37,-805.91,12241,50.77%
Spacewar,2017,February ,7020.28,-146.39,13379,52.47%
Spacewar,2017,January ,7166.67,1134.8,13049,54.92%
Spacewar,2016,December ,6031.87,377.97,11646,51.79%
Spacewar,2016,November ,5653.9,-140.97,11577,48.84%
Spacewar,2016,October ,5794.87,452.33,12701,45.63%
Spacewar,2016,September ,5342.53,-1120.41,10332,51.71%
Spacewar,2016,August ,6462.94,-12.15,12508,51.67%
Spacewar,2016,July ,6475.1,601.54,10199,63.49%
Spacewar,2016,June ,5873.55,691.61,10327,56.88%
Spacewar,2016,May ,5181.94,423.52,10015,51.74%
Spacewar,2016,April ,4758.42,-603.43,8890,53.53%
Spacewar,2016,March ,5361.85,4.31,10537,50.89%
Spacewar,2016,February ,5357.54,548.78,11454,46.77%
Spacewar,2016,January ,4808.76,827.15,9587,50.16%
Spacewar,2015,December ,3981.62,437.26,7464,53.34%
Spacewar,2015,November ,3544.36,42.02,6993,50.68%
Spacewar,2015,October ,3502.33,437.08,6709,52.20%
Spacewar,2015,September ,3065.25,-1095.3,6599,46.45%
Spacewar,2015,August ,4160.55,516.79,6599,63.05%
Spacewar,2015,July ,3643.76,1240.94,6884,52.93%
Spacewar,2015,June ,2402.82,241.89,4656,51.61%
Spacewar,2015,May ,2160.93,-267.09,4224,51.16%
Spacewar,2015,April ,2428.02,45.12,5499,44.15%
Spacewar,2015,March ,2382.9,-883.71,5186,45.95%
Spacewar,2015,February ,3266.61,944.78,8705,37.53%
Spacewar,2015,January ,2321.83,749.99,8287,28.02%
Spacewar,2014,December ,1571.84,-90.24,3129,50.23%
Spacewar,2014,November ,1662.08,-389.15,3650,45.54%
Spacewar,2014,October ,2051.24,-147.28,4505,45.53%
Spacewar,2014,September ,2198.51,485.85,5134,42.82%
Spacewar,2014,August ,1712.66,-272.08,3000,57.09%
Spacewar,2014,July ,1984.74,521.63,3892,51.00%
Spacewar,2014,June ,1463.11,806.21,4342,33.70%
Spacewar,2014,May ,656.9,-54.48,1309,50.18%
Spacewar,2014,April ,711.38,69.97,1463,48.62%
Spacewar,2014,March ,641.41,-31.33,1257,51.03%
Spacewar,2014,February ,672.74,-6.66,1299,51.79%
Spacewar,2014,January ,679.4,-1.74,1406,48.32%
Spacewar,2013,December ,681.14,-332.75,1284,53.05%
Spacewar,2013,November ,1013.89,402.52,2723,37.23%
Spacewar,2013,October ,611.37,-809.22,2420,25.26%
Spacewar,2013,September ,1420.58,177.03,6579,21.59%
Spacewar,2013,August ,1243.56,1044.69,6454,19.27%
Spacewar,2013,July ,198.87,168.25,612,32.50%
Spacewar,2013,June ,30.62,1.33,74,41.38%
Spacewar,2013,May ,29.29,-3.19,68,43.07%
Spacewar,2013,April ,32.48,-12.61,79,41.11%
Spacewar,2013,March ,45.09,0.79,106,42.54%
Spacewar,2013,February ,44.3,2.41,101,43.86%
Spacewar,2013,January ,41.89,0.01,93,45.04%
Spacewar,2012,December ,41.87,-1.11,92,45.51%
Spacewar,2012,November ,42.98,-5.85,90,47.76%
Spacewar,2012,October ,48.84,2.32,119,41.04%
Spacewar,2012,September ,46.51,-11.65,97,47.95%
Spacewar,2012,August ,58.16,-5.13,115,50.57%
Spacewar,2012,July ,63.29,NA,115,55.03%
7 Days to Die,2021,January ,25366.69,3925.06,39581,64.09%
7 Days to Die,2020,December ,21441.63,-1880.18,35208,60.90%
7 Days to Die,2020,November ,23321.81,5405.48,37599,62.03%
7 Days to Die,2020,October ,17916.32,-3097.9,33560,53.39%
7 Days to Die,2020,September ,21014.22,286.22,33803,62.17%
7 Days to Die,2020,August ,20728.01,-3509.9,35748,57.98%
7 Days to Die,2020,July ,24237.9,11117.41,38944,62.24%
7 Days to Die,2020,June ,13120.49,-3693.5,28205,46.52%
7 Days to Die,2020,May ,16813.99,-1456.03,26351,63.81%
7 Days to Die,2020,April ,18270.02,162.78,29749,61.41%
7 Days to Die,2020,March ,18107.24,1155.18,35936,50.39%
7 Days to Die,2020,February ,16952.06,401.51,28339,59.82%
7 Days to Die,2020,January ,16550.55,150.39,27981,59.15%
7 Days to Die,2019,December ,16400.15,-2922.88,28088,58.39%
7 Days to Die,2019,November ,19323.04,5596.26,37024,52.19%
7 Days to Die,2019,October ,13726.77,6873.3,31500,43.58%
7 Days to Die,2019,September ,6853.48,-1138.27,11571,59.23%
7 Days to Die,2019,August ,7991.75,-1036.15,13113,60.95%
7 Days to Die,2019,July ,9027.9,665.99,15198,59.40%
7 Days to Die,2019,June ,8361.9,884.97,13753,60.80%
7 Days to Die,2019,May ,7476.93,331.64,12812,58.36%
7 Days to Die,2019,April ,7145.29,-1141.81,12890,55.43%
7 Days to Die,2019,March ,8287.09,-1126.27,15385,53.86%
7 Days to Die,2019,February ,9413.36,-3973.71,17889,52.62%
7 Days to Die,2019,January ,13387.06,-383.31,26707,50.13%
7 Days to Die,2018,December ,13770.37,3609.61,28105,49.00%
7 Days to Die,2018,November ,10160.76,3713.67,27328,37.18%
7 Days to Die,2018,October ,6447.09,466.08,11389,56.61%
7 Days to Die,2018,September ,5981.01,-113.4,10157,58.89%
